"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-08-05","2556000","2172200","11734100","2620900","2605481","20869000","1326600","22962100","1418600","4514300"
"2013-08-06","3261600","1642800","19462800","2750300","6211671","28843300","1178900","20413400","5376000","5140100"
"2013-08-07","2584200","2396700","27553200","3000300","4081178","23350900","2088600","16328900","3143200","4513300"
"2013-08-08","3151600","2974200","16994400","3400700","4756790","34792500","2148000","14800100","3870100","3897300"
"2013-08-09","3196300","1891300","13656300","2543800","3399082","25145400","1567200","12322800","1593000","5768600"
"2013-08-12","2944300","1807900","10665300","2862900","3165719","23520400","1088800","17804500","2503700","3506600"
"2013-08-13","2769500","1960300","12387400","3644600","3705873","26099200","1177900","21940800","2232200","4100300"
"2013-08-14","4341200","2115100","32081500","3741400","3025346","23202500","1301500","17399900","1762000","11735300"
"2013-08-15","3651300","2616800","28245900","5910700","3862250","40451200","1637800","16629200","1791300","8551200"
"2013-08-16","3396300","2829200","11659600","4073400","3584014","30079000","1814200","21354200","1406600","5714600"
"2013-08-19","3138400","2185800","14414700","3482000","3398349","43412200","1308900","15497300","1842400","5365800"
"2013-08-20","3078500","2213900","16665100","3571400","3261219","32084300","2328100","30140600","2088300","5428900"
"2013-08-21","3539800","2515500","13992800","5379900","3714346","32403300","3115800","21258300","1240300","9314200"
"2013-08-22","3467200","1699600","10071400","2964900","2462598","17380600","1600100","9961700","900000","4258600"
"2013-08-23","2836500","2410900","22498900","4312800","2398164","23088700","2311000","22285200","2210400","5162800"
"2013-08-26","2009700","2590500","22464000","5731000","2270238","22267800","2693300","31017700","1966500","6757700"
"2013-08-27","2836900","2287600","51647100","5589800","3337472","37638500","3077600","23138500","3382100","9172200"
"2013-08-28","2002800","1971500","19453800","5877500","4162243","28090000","3205800","19355700","2034500","5115000"
"2013-08-29","1828100","1738900","13448100","13186500","3118021","28303500","1547200","19059600","1014400","3192400"
"2013-08-30","2709900","2211500","31721500","31862700","2856626","33896300","1455000","15149400","1082900","4377300"
"2013-09-03","3186000","1955500","15543600","10222700","3647611","26427300","1796500","19969600","1940900","4466800"
"2013-09-04","2079400","5402200","29576000","8027400","2717403","37941800","2815000","19701500","1317100","6224400"
"2013-09-05","2390800","2379800","23102100","5991900","2999510","22552800","1393000","19072200","2915100","4374400"
"2013-09-06","2984700","3140900","35974800","5185300","3037061","27606600","1921500","17698800","1001500","4770400"
"2013-09-09","2827700","1931700","23646200","5220300","3155991","27770600","2007800","13840400","3368400","3656700"
"2013-09-10","2017500","2831100","33201100","5138200","3294482","31705400","1618400","36682100","2686200","6427400"
"2013-09-11","3266100","2650200","24009100","4309400","5191193","45815300","1890200","29940400","3129300","6720000"
"2013-09-12","3104500","3024100","28947700","3839600","3509121","29517900","2353800","21947800","3966800","5855600"
"2013-09-13","2328700","2571600","25331400","3350800","3881078","61134800","1502100","15029700","2039900","4272300"
"2013-09-16","3258500","4474800","30569700","3347600","4081910","30088500","2081200","14055300","2797700","5393100"
"2013-09-17","2549100","6917200","25590700","3167000","3065721","37540700","1730600","18200700","2932900","4061200"
"2013-09-18","2761200","15267900","24046300","10464300","4018523","31975400","3015000","13739600","3969900","7654400"
"2013-09-19","2830300","7183400","24274700","6897600","3324293","28261400","3126000","17449600","3299300","5066800"
"2013-09-20","4290400","12323000","94572300","6106400","8918091","47069000","7165800","30791600","1976100","7179000"
"2013-09-23","2870600","3183400","20920500","4339300","3494477","22437100","1947300","32030600","1461700","5780200"
"2013-09-24","5160600","3103300","21462700","2979400","3227224","24410100","2748800","18780300","1036600","4440700"
"2013-09-25","3259800","4009400","23559200","4045800","2776607","19879900","2974400","14639100","1078600","4421200"
"2013-09-26","5003300","2902900","17460300","4141300","2189906","32003300","2364900","12460700","757300","3275500"
"2013-09-27","8859200","2382000","11436100","3948100","4085153","28924100","3161600","8299200","918200","3799300"
